,Age,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1348,0.5238095238095237,1.0,0.0,0.0,1.0,0.75,0.0,0.8327540810953133,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.55,0.5,0.47500000000000003,0.38888888888888884,0.7333333333333333,0.9411764705882353,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
834,0.380952380952381,1.0,0.2857142857142857,0.3333333333333333,0.0,0.25,0.6666666666666667,0.24776197998946817,0.1111111111111111,0.0,0.6428571428571427,1.0,0.0,0.15000000000000002,0.5,0.15000000000000002,0.2777777777777778,0.06666666666666667,0.1764705882352941,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1062,0.6190476190476188,0.5,0.03571428571428571,0.3333333333333333,1.0,0.5,0.6666666666666667,0.4844655081621906,0.5555555555555556,1.0,0.4999999999999999,0.0,0.0,0.4,0.3333333333333333,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1907,0.047619047619047616,0.5,0.17857142857142855,0.6666666666666667,0.0,0.0,0.6666666666666667,0.10047393364928911,0.1111111111111111,1.0,0.4285714285714285,0.0,0.0,0.05,0.6666666666666666,0.05,0.0,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.6190476190476188,0.0,0.7857142857142857,0.3333333333333333,1.0,0.25,0.3333333333333333,0.05439705107951554,0.4444444444444444,0.0,0.0714285714285714,0.0,0.3333333333333333,0.42500000000000004,0.5,0.07500000000000001,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
694,0.35714285714285715,1.0,0.0,0.3333333333333333,0.0,0.25,1.0,0.3127962085308057,0.0,0.0,0.2142857142857143,0.0,0.0,0.15000000000000002,0.5,0.125,0.0,0.06666666666666667,0.23529411764705882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
875,0.6190476190476188,1.0,0.9999999999999999,1.0,1.0,0.25,1.0,0.18599262769878885,0.1111111111111111,0.0,0.9999999999999999,1.0,0.0,0.5,0.5,0.5,0.611111111111111,0.8666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
897,0.976190476190476,1.0,0.07142857142857142,0.6666666666666667,0.0,0.25,1.0,0.21916798314902583,0.5555555555555556,0.0,0.4285714285714285,0.0,0.0,0.325,0.3333333333333333,0.15000000000000002,0.05555555555555555,0.0,0.29411764705882354,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
586,0.14285714285714285,0.0,0.2857142857142857,0.6666666666666667,1.0,0.0,0.3333333333333333,0.08873091100579253,0.1111111111111111,0.0,0.0,0.0,1.0,0.025,0.6666666666666666,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1263,0.5714285714285714,1.0,0.39285714285714285,0.3333333333333333,1.0,0.0,0.3333333333333333,0.09252238020010534,0.8888888888888888,0.0,0.7857142857142857,1.0,1.0,0.17500000000000002,1.0,0.125,0.16666666666666666,0.0,0.23529411764705882,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1188,0.2619047619047619,1.0,0.14285714285714285,0.0,1.0,0.25,0.3333333333333333,0.1673512374934176,0.1111111111111111,1.0,0.1428571428571428,0.0,0.3333333333333333,0.25,0.5,0.25,0.0,0.0,0.5294117647058824,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
